sku,brand,title,product_type,product_type_id,category_id,category_l1,category_l2,category_l3
CSOL-PBASOSvv251734,,SOS Paper Bags Kraft Brown (25x17x34) x250,Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CSOL-PBH261231-S,,"Paper Bags with Handle 26x12xh31, Brown S",Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CSOL-PBH281729-M,,Paper Bags with Handles 28x17x29 x250,Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CSOL-RCB1527,,Paper Bag with Aluminum Inside 15x27 x1500,Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
ATH-HYGIENE-CAPS,,Hygiene Caps x100,Hygiene Cap,hygiene-cap,catering-and-food-packaging/catering-sundries/hygiene-caps-and-disposables,Catering & Food Packaging,Catering Sundries,Hygiene Caps & Disposables
ATH-BAMBOO-SKEWERS-25CM,,Bamboo Skewers 25cm x200,Skewer,skewer,catering-and-food-packaging/catering-sundries/skewers-and-cooking-accessories,Catering & Food Packaging,Catering Sundries,Skewers & Cooking Accessories
ATH-SKEWERS-11PACK,Unbranded,Skewer - Souvlaki Kebab Skewers w\ Wooden Handles for the bLUE Cypriot BBQ - 11 Pack,Skewer,skewer,catering-and-food-packaging/catering-sundries/skewers-and-cooking-accessories,Catering & Food Packaging,Catering Sundries,Skewers & Cooking Accessories
CHM-AHCAR302,,Paper Carrier 2 Cups x100,Cup Carrier,cup-carrier,catering-and-food-packaging/cups-and-lids/cup-carriers-and-accessories,Catering & Food Packaging,Cups & Lids,Cup Carriers & Accessories
CHM-AHCAR304,,Paper Carrier 4 Cups x100,Cup Carrier,cup-carrier,catering-and-food-packaging/cups-and-lids/cup-carriers-and-accessories,Catering & Food Packaging,Cups & Lids,Cup Carriers & Accessories
CHM-AECON812,,Lid for 4oz Paper Cup x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-AGCLE306,,Dome Lid Cups x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-AGPAP124,,Lid for 12oz / 16oz Paper Cup x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-CO,,Lid Cover for 8oz x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-FLPP,,Lid Flat PP 95mm x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-PAPERDOML,,Safety Paper Dome Lid x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-SO,,Lid for 8oz Paper Cup x100,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-CS02/30-DL-P662,,Lid Dome PP for Paper Salad Bowl 20oz x50,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-CS040DL-SHP598,,Lid Dome PP for Paper Salad Bowl 40oz x50,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-DL92-FATIM,,"Lid Dome Clear for 400,500,660cc (O) x50",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-DL95(8mmSAFETY),,Dome Lid 95mm with Safety Hole 8mm,Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-DLL-PP/NO/SOMO,,"NO HOLE Lid Dome for 400,500,660cc x50",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-DLL-PP/SOMO(O),,"Lid Dome for 400,500,660cc (O) x50",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-DLLSOPET-CLOSED,,"Dome Lid CLOSED for Pet Cups 400, 500, 600cc x50",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-SIP4-WHITE,,"Lid-Sip for Paper Cup 4oz x100, White",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-SIP80-BLACK,,"Lid-Sip 80mm for Paper Cup 8oz, Black x100",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CSOL-SIP90-BLACK,,"Lid-Sip 90mm for Paper Cups 12/16oz, Black x100",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
Round-Paper-Lid-1300cc-x300,,"Lid for Bowl Round Paper 1300cc Kraft, x300",Cup Lid,cup-lid,catering-and-food-packaging/cups-and-lids/cup-lids,Catering & Food Packaging,Cups & Lids,Cup Lids
CHM-AGPAP040,,Espresso / Cyprus Coffee Cup 4oz x50,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CHM-AGPAP092,,Paper Cups 8oz x50,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CHM-AGPAP117,,Paper DOUBLE WALL Cup Hot 12oz x25,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CHM-AGPAP119,,Paper Cup Hot 12oz x50,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CHM-AGPAP154,,Paper DOUBLE WALL Cup Hot 16oz x20,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CHM-PCDW,,Paper Cup Hot 8oz DOUBLE WALL x28,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-FC04-1012,,Cup 4oz Espresso & Cyprus Coffee x50,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-ICPC8-TANI,,"Ice Cream Paper Cup 8oz, Colour x50",Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-ICPC8-WH-CI008,,"Ice Cream Paper Cup 8oz, White x50",Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-PCU12DW-BLACK,,"12oz Paper Cup DOUBLE WALL, Black x25",Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-PCU4-BLACK,,"4oz Paper Cup x50, Black",Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-PCU8DW-KRAFT,,8oz Paper Cup DOUBLE WALL Kraft x25,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CSOL-SW12SO-BLACK,,Paper Cup Hot 12oz x25,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
HC-1823,,Paper Cup with Lid 500ml x400,Paper Cup,paper-cup,catering-and-food-packaging/cups-and-lids/paper-cups,Catering & Food Packaging,Cups & Lids,Paper Cups
CHM-FC1,,Freddo Cups 360cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CHM-FC4L,,Frappe Cups 500cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CHM-PS35,,Plastic Cocktail / Desert Cup 35cc PET x1000,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CHM-WC,,Water Cups x100,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PET14-FATIM,,Plastic Cup Pet 14oz 400cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PET14U-FATIM,,"Plastic Cup ""U"" Pet 14oz 400cc x50",Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PET18-FATIM,,Plastic Cup Pet 18oz 500cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PP180HOL/CL,,Plastic Cups 180cc Clear x100,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PP300-GPI,,Plastic Cups 300cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PP400-SOMO,,Plastic Cup 400cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PP500-PRATICO,,Plastic Cups 500cc x50 PRATICO,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CSOL-PP500-SOMO,,Plastic Cup 500cc x50,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
Plastic-Water-Cups-100,,Plastic Water Cups x100,Plastic Cup,plastic-cup,catering-and-food-packaging/cups-and-lids/plastic-cups,Catering & Food Packaging,Cups & Lids,Plastic Cups
CHM-AGPAP950/AGPAP951,,Salad Bowl 1000ml with Lid x100,Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CHM-AGPAP952/AGPAP953,,Salad Bowl 1300ml with Lid x100,Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CSOL-CS01300-SO,,"Bowl Round Paper 1300cc Kraft, x300",Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CSOL-CS020-BROWN,,"Paper Bowl 20oz Salads & Hot Meals, Brown x50",Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CSOL-CS040-BROWN,,"Paper Bowl 40oz Salads & Hot Meals, Brown x50",Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CSOL-NOODL26-ROUND,,Noodle Box Round 26cm (500pcs/Box),Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CSOL-SALAD1300KR+L,,Paper Salad Bowl 43oz 1300cc with Lid x25,Bowl & Salad Container,bowl-and-salad-container,catering-and-food-packaging/food-containers-and-boxes/bowls-and-salad-containers,Catering & Food Packaging,Food Containers & Boxes,Bowls & Salad Containers
CHM-2140117,,Burger / Lunch Box J200 Sugar Cane x100,Paper Box & Tray,paper-box-and-tray,catering-and-food-packaging/food-containers-and-boxes/paper-boxes-and-trays,Catering & Food Packaging,Food Containers & Boxes,Paper Boxes & Trays
CSOL-DCFRIES-M,,"Fries Paper Scoop Medium, Brown x1000",Paper Box & Tray,paper-box-and-tray,catering-and-food-packaging/food-containers-and-boxes/paper-boxes-and-trays,Catering & Food Packaging,Food Containers & Boxes,Paper Boxes & Trays
CSOL-QB32VARK,,"Paper Tray 32oz 16.8*9.7*6cm x250, Kraft",Paper Box & Tray,paper-box-and-tray,catering-and-food-packaging/food-containers-and-boxes/paper-boxes-and-trays,Catering & Food Packaging,Food Containers & Boxes,Paper Boxes & Trays
CSOL-ROI-5641-KRAFT,,Crepe Box - Easy Open Paper Bοx 230x165x50mm Kraft (325pcs/Box),Paper Box & Tray,paper-box-and-tray,catering-and-food-packaging/food-containers-and-boxes/paper-boxes-and-trays,Catering & Food Packaging,Food Containers & Boxes,Paper Boxes & Trays
CSOL-T42KRAFT-1*10KG,,"T42 Paper Box 14x10.5x4.8cm with Aluminium x270, Kraft",Paper Box & Tray,paper-box-and-tray,catering-and-food-packaging/food-containers-and-boxes/paper-boxes-and-trays,Catering & Food Packaging,Food Containers & Boxes,Paper Boxes & Trays
CSOL-T8KRAFT-1*10KG,,"T8 Paper Box 16x13.5x6cm with Aluminium x175, Kraft",Paper Box & Tray,paper-box-and-tray,catering-and-food-packaging/food-containers-and-boxes/paper-boxes-and-trays,Catering & Food Packaging,Food Containers & Boxes,Paper Boxes & Trays
CSOL-DP375/CSOL-DPLID,,Round Clear Container 375cc with Lid x25,Plastic Container,plastic-container,catering-and-food-packaging/food-containers-and-boxes/plastic-containers,Catering & Food Packaging,Food Containers & Boxes,Plastic Containers
CSOL-GPI955-GREAT,,Pet Square Container 150cc + Hinged Lid x100,Plastic Container,plastic-container,catering-and-food-packaging/food-containers-and-boxes/plastic-containers,Catering & Food Packaging,Food Containers & Boxes,Plastic Containers
CSOL-SAU-TCC120,,Sauce Cup 120cc with Hinged Lid x50,Plastic Container,plastic-container,catering-and-food-packaging/food-containers-and-boxes/plastic-containers,Catering & Food Packaging,Food Containers & Boxes,Plastic Containers
CSOL-SAU120SO,,Round Sauce Cup 120cc x10,Plastic Container,plastic-container,catering-and-food-packaging/food-containers-and-boxes/plastic-containers,Catering & Food Packaging,Food Containers & Boxes,Plastic Containers
CSOL-SAU80-794,,Sauce Cup 80cc with Hinged Lid x90,Plastic Container,plastic-container,catering-and-food-packaging/food-containers-and-boxes/plastic-containers,Catering & Food Packaging,Food Containers & Boxes,Plastic Containers
CSOL-SO416H,,Rectangle Clear Cont. Pet 375cc Hinged w/ Lid x80,Plastic Container,plastic-container,catering-and-food-packaging/food-containers-and-boxes/plastic-containers,Catering & Food Packaging,Food Containers & Boxes,Plastic Containers
CHM-AACUT330,,Spoon Desert x100,Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CHM-CUT3FKNR,,Reusable Cutlery 3-IN-1 Set x100,Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CHM-CUT3W,,Wooden Cutlery 3-IN-1 Set x100,Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CSOL-CUT3-WOOD,,Cutlery Wooden 3-IN-1 Set x100,Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CSOL-CUT3:1VV-CLEAR,,"Cutlery Set 3:1 HD Reusable, Clear x500",Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CSOL-ICSP12MIP-WHITE,,"Ice Cream Reusable Plastic Spoon, White x100",Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CSOL-WCUT3(100),,Wooden Cutlery Set 3-IN-1 Set x100,Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CSOL-WSP14(100),,Wooden Oval Teaspoon / Ice Cream Spoon 14cm x100,Disposable Cutlery,disposable-cutlery,catering-and-food-packaging/plates-cutlery-and-straws/disposable-cutlery,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Cutlery
CHM-ADPPS010,,Plates Sugar Cane 18cm x100,Disposable Plate,disposable-plate,catering-and-food-packaging/plates-cutlery-and-straws/disposable-plates,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Plates
CHM-ADPPS021,,Plates Sugar Cane 22cm x100,Disposable Plate,disposable-plate,catering-and-food-packaging/plates-cutlery-and-straws/disposable-plates,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Plates
CSOL-PL9/30-GPI,,"Plates 9"" x30",Disposable Plate,disposable-plate,catering-and-food-packaging/plates-cutlery-and-straws/disposable-plates,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Plates
CSOL-PPL9(100)-WHITE,,Paper Plate 9''-23cm White x100,Disposable Plate,disposable-plate,catering-and-food-packaging/plates-cutlery-and-straws/disposable-plates,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Plates
CSOL-WFRP17-1,,Plates Round Wood Fiber 18cm x125,Disposable Plate,disposable-plate,catering-and-food-packaging/plates-cutlery-and-straws/disposable-plates,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Plates
CSOL-WFRP23-1,,Plates Round Wood Fiber 23cm x125,Disposable Plate,disposable-plate,catering-and-food-packaging/plates-cutlery-and-straws/disposable-plates,Catering & Food Packaging,"Plates, Cutlery & Straws",Disposable Plates
CHM-AACUT510,,Wooden Stirrer 15cm x1000,Stirrer & Toothpick,stirrer-and-toothpick,catering-and-food-packaging/plates-cutlery-and-straws/stirrers-and-toothpicks,Catering & Food Packaging,"Plates, Cutlery & Straws",Stirrers & Toothpicks
CHM-AGAPAP305,,Black Stirrer 12cm x 500,Stirrer & Toothpick,stirrer-and-toothpick,catering-and-food-packaging/plates-cutlery-and-straws/stirrers-and-toothpicks,Catering & Food Packaging,"Plates, Cutlery & Straws",Stirrers & Toothpicks
CSOL-PLUGIN-STR12-BLACK,,Plug In Coffee Stopper / Stirrer 12cm x500,Stirrer & Toothpick,stirrer-and-toothpick,catering-and-food-packaging/plates-cutlery-and-straws/stirrers-and-toothpicks,Catering & Food Packaging,"Plates, Cutlery & Straws",Stirrers & Toothpicks
CSOL-TOOTH-1/1CELLO,,Toothpicks Wooden Individual Wrapped x1000,Stirrer & Toothpick,stirrer-and-toothpick,catering-and-food-packaging/plates-cutlery-and-straws/stirrers-and-toothpicks,Catering & Food Packaging,"Plates, Cutlery & Straws",Stirrers & Toothpicks
CSOL-WSTR14-1/1(200),,Wooden Coffee Stirrer 14cm Wrapped x200,Stirrer & Toothpick,stirrer-and-toothpick,catering-and-food-packaging/plates-cutlery-and-straws/stirrers-and-toothpicks,Catering & Food Packaging,"Plates, Cutlery & Straws",Stirrers & Toothpicks
CHM-008884,,Paper Freddo Straws x500,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CHM-ACSTR011,,Paper Milkshake Straws Wrapped x250,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CHM-PAPERFS,,Paper Freddo Straws x500,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CHM-PAPERSTR,,Paper Frappe Straws 6mm x 250,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CSOL-RUSS4180-1/1BLACK,,Straws Reusable Freddo BLACK Wrapped x500,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CSOL-RUSS5200-1/1BLACK,,Straws Reusable Frappe BLACK Wrapped x500,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CSOL-RUSS7220-1/1BLACK,,Straws Reusable Milkshake BLACK Wrapped x500,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CSOL-SS5220-1/1BLACKX1000,,Straws Frappe BLACK Wrapped x1000,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
CSOL-SS5220-1/1COLOR,,Straws Frappe COLOR Wrapped x500,Straw,straw,catering-and-food-packaging/plates-cutlery-and-straws/straws,Catering & Food Packaging,"Plates, Cutlery & Straws",Straws
BN-0768,Bien,Bien Toilet Cleaner Fresh Forest 850ml,Bathroom & Toilet Cleaner,bathroom-and-toilet-cleaner,cleaning-hygiene-and-janitorial/cleaning-chemicals/bathroom-and-toilet-cleaners,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bathroom & Toilet Cleaners
BN-1147,Bien,Bien Bathroom Cleaner Fresh Forest 750ml,Bathroom & Toilet Cleaner,bathroom-and-toilet-cleaner,cleaning-hygiene-and-janitorial/cleaning-chemicals/bathroom-and-toilet-cleaners,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bathroom & Toilet Cleaners
BN-1338,Bien,Bien Toilet Cleaner Spring Pine 4 lt,Bathroom & Toilet Cleaner,bathroom-and-toilet-cleaner,cleaning-hygiene-and-janitorial/cleaning-chemicals/bathroom-and-toilet-cleaners,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bathroom & Toilet Cleaners
BN-1345,Bien,Bien Toilet & Bathroom Cleaner Fresh Forest 4lt,Bathroom & Toilet Cleaner,bathroom-and-toilet-cleaner,cleaning-hygiene-and-janitorial/cleaning-chemicals/bathroom-and-toilet-cleaners,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bathroom & Toilet Cleaners
BN-1353,Bien,Bien Bathroom Cleaner Flower Bouquet 4L,Bathroom & Toilet Cleaner,bathroom-and-toilet-cleaner,cleaning-hygiene-and-janitorial/cleaning-chemicals/bathroom-and-toilet-cleaners,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bathroom & Toilet Cleaners
KLX-Toilet-Spray-400mL,Klinex,Klinex Toilet Spray 400ml 1-for-All,Bathroom & Toilet Cleaner,bathroom-and-toilet-cleaner,cleaning-hygiene-and-janitorial/cleaning-chemicals/bathroom-and-toilet-cleaners,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bathroom & Toilet Cleaners
ATH-DOMESTOS-750ML,Domestos,Domestos Bleach 750ml,Bleach & Chlorine,bleach-and-chlorine,cleaning-hygiene-and-janitorial/cleaning-chemicals/bleach-and-chlorine,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bleach & Chlorine
BN-0188,Bien,Bien Chlorine 3% 4lt,Bleach & Chlorine,bleach-and-chlorine,cleaning-hygiene-and-janitorial/cleaning-chemicals/bleach-and-chlorine,"Cleaning, Hygiene & Janitorial",Cleaning Chemicals,Bleach & Chlorine
